"","X","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep","kr1_new","kr2_new","kr3_new","Kr1","Kr2","Kr3","Kx"
"25",25,0.310047715081896,0.568405255496945,9.7,0.0266347979809329,10.2315745977026,0.0856859917322653,0.1562,0.713,"PI_467171",25,25,0.000145820984444474,5.89676726271794e-05,5.24814860756099e-05,0.000520784414921499,0.000210596883606432,0.000187432145820581,5.778103767334
"26",26,0.322131996076012,0.59867932304611,11,0.0251406660881907,10.6303558705084,0.0978872552344884,0.0225,0.8,"PI_467177",26,26,0.000149889299237434,5.90954120459884e-05,5.26257886400897e-05,0.000563825555499773,0.000222294077654852,0.000197957857329164,12.8185827330607
"27",27,0.279259596281003,0.53165701249133,9.9,0.0254946885060936,9.2155666772731,0.0805829135077113,0.0367,0.643,"PI_467262",27,27,0.00015005033975792,5.86092183014609e-05,5.22240165330757e-05,0.000501243089339315,0.00019578406615128,0.00017445430264922,4.09059717349193
"28",28,0.298541066072092,0.548164694738268,9.1,0.027431167985294,9.85185518037905,0.0880585793916182,0.0188,0.663,"PI_467280",28,28,0.000156827932206518,6.14329101247209e-05,5.45535723370079e-05,0.000540149956478465,0.000211588479573374,0.000187894524329862,6.47249305617813
"29",29,0.241351836893017,0.460082682039023,8.9,0.0245764994546074,7.96461061746957,0.0848162451211652,0.0259,0.482,"PI_48543",29,29,0.000159064049634665,6.03227023258193e-05,5.35237551777323e-05,0.000459819928619179,0.000174379947834104,0.000154725655116804,4.63160691615553
"30",30,0.271163389321744,0.523207895695449,9.3,0.0271015598251296,8.94839184761755,0.0817770597256637,0.0329,0.629,"PI_485690",30,30,0.000152838623288972,5.94731295551911e-05,5.29705724649809e-05,0.000502443549150971,0.000195512689461537,0.000174136104193658,4.0025728674838
"31",31,0.306952319278422,0.594142797463559,10.7,0.0268402316060876,10.1294265361879,0.087564394173308,0.0679,0.813,"PI_467216",31,31,NA,NA,NA,NA,NA,NA,NA
"32",32,0.350070430314757,0.673728356014563,12,0.0269714938083171,11.552324200387,0.0915223517776201,0.111,1.041,"PI_467225",32,32,NA,NA,NA,NA,NA,NA,NA
"33",33,0.283220923164789,0.53165701249133,10,0.0248436089326541,9.34629046443803,0.0825316303824369,0,0.636,"PI_467230",33,33,0.000155369024742395,5.99161450795721e-05,5.32574543728793e-05,0.000519010154026688,0.000200149854438449,0.00017790650126669,4.53514694476711
"34",34,0.23534213434058,0.45973662506487,8.7,0.0257924701981943,7.76629043323914,0.093215080782574,0.0071,0.49,"PI_48533",34,34,0.000151293301688362,5.78018054216881e-05,5.15964808828788e-05,0.000437027405884391,0.000166966896729558,0.000149042131683101,6.91128764203142
"35",35,0.227081926981814,0.413824502376164,7.3,0.0255811747115547,7.49370359039987,0.0824397753370912,0.083,0.376,"PI_485711",35,35,0.000176308834940658,6.57695372908887e-05,5.77148253340451e-05,0.000458426954679702,0.000171009743789092,0.000150066396994016,3.46316463723724
"36",36,0.325082885143187,0.625207597709509,10.6,0.0283136521288983,10.7277352097252,0.0857821409930666,0.1062,0.897,"PI_444266",36,36,0.000131720581962056,5.46523727761129e-05,4.91308563246037e-05,0.000517437328791262,0.000214690653200442,0.000193000506672172,6.05923948950209
"37",37,0.236690810908128,0.437747131895392,8.5,0.0236536848220311,7.81079675996822,0.0875298772788336,0.0296,0.425,"PI_583749",37,37,0.000174614116650295,6.45618380931223e-05,5.6764151515078e-05,0.000480266759342686,0.000177573871763699,0.000156126753197063,5.67332628137694
"38",38,0.312094256871606,0.58794943353625,10.2,0.0270446251632004,10.299110476763,0.0839445738577961,0.016,0.781,"PI_583750",38,38,0.000148493788933496,5.88369146713492e-05,5.25112063013205e-05,0.000548565048568364,0.000217355050242244,0.000193986648478395,5.11471279540284
"39",39,0.301722765877161,0.580320480064637,9.9,0.0281411832512602,9.95685127394631,0.0846229308620557,0.0396,0.772,"PI_583751",39,39,0.000142676275661972,5.74053004896684e-05,5.13847608237923e-05,0.000520234955807707,0.00020931471490134,0.000187362255233581,5.08335176907439
"40",40,0.283220923164789,0.561644992150857,10.4,0.0267715450948143,9.34629046443803,0.081702145708124,0.0799,0.739,"PI_583752",40,40,NA,NA,NA,NA,NA,NA,NA
"41",41,0.291528282694959,0.526241010355424,8.7,0.0269784744437316,9.62043332893366,0.0883657052714489,0.1313,0.602,"PI_443781",41,41,0.000152979135302544,6.0704771088675e-05,5.38509409313163e-05,0.000505820888506286,0.000200718491367585,0.000178056509045551,6.6716814124751
"42",42,0.233304501751313,0.428932528743427,7.9,0.0247630413914069,7.69904855779331,0.0760800084435768,0.0162,0.407,"PI_443963",42,42,0.000169203800009623,6.31097699099206e-05,5.56985432174205e-05,0.000456014826817028,0.000170084778204143,0.000150111058603934,2.76738650303985
"43",43,0.373389515316781,0.652365172144964,10.1,0.0276213521612063,12.3218540054538,0.0980298874919981,0.128,0.899,"PI_444005",43,43,0.000150739980741372,6.18351972122624e-05,5.48186971772479e-05,0.000617872819876502,0.000253458223102148,0.000224698071741003,13.0887842450701
"44",44,0.285459858584443,0.539679113787229,8.3,0.0306288259280464,9.42017533328663,0.0788505055339319,0.1019,0.659,"PI_444095",44,44,0.000150872724057062,6.05409902168768e-05,5.38984832359115e-05,0.000511594905140753,0.000205288678524928,0.000182764575841275,2.85175375357231
