"","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep"
"49",0.32752165064914,0.638058260999,11.9,0.0260955134747781,10.8082144714216,0.0939958574653182,0.0685,0.942,"PI_584440",49,49
"50",0.257927831403306,0.519851029978818,10.2,0.0256787449583836,8.5116184363091,0.0713162411016402,0.0195,0.64,"PI_444408",50,50
"51",0.341789011276622,0.669224932186924,10.6,0.030890181217953,11.2790373721285,0.0991011439752485,0.1763,1.04,"PI_444498",51,51
"52",0.307470382633167,0.58577987103188,10.9,0.025532980587038,10.1465226268945,0.0923742449501556,0.141,0.781,"PI_444499",52,52
"53",0.320646367884254,0.566441846329578,8,0.0307244348056655,10.5813301401804,0.0870673250025891,0,0.685,"PI_444642",53,53
"54",0.318654756268644,0.560226336204589,10,0.0241571579935945,10.5156069568653,0.0859414752281545,0.0028,0.667,"PI_444897",54,54
"55",0.291528282694959,0.548745070437873,9,0.0285796430825459,9.62043332893366,0.0891114206463691,0.1467,0.679,"PI_444954",55,55
"56",0.274662416478044,0.539384126548033,9.5,0.027865443165262,9.06385974377545,0.0803854388186362,0.0778,0.677,"PI_445067",56,56
"57",0.274662416478044,0.534046494249964,9.5,0.0273035871338863,9.06385974377545,0.0846415405102087,0.0817,0.659,"PI_445082",57,57
"58",0.178412411615277,0.382235840494269,8.5,0.0239792269269402,5.88760958330414,0.070526036173638,0.0076,0.359,"PI_445251",58,58
"59",0.306952319278422,0.577571433435391,8.7,0.0311056453053988,10.1294265361879,0.0861169491218496,0.1455,0.752,"PI_445355",59,59
"60",0.24785844353879,0.515855662806612,10.8,0.0248145573396131,8.17932863678007,0.0727504508063177,0.0245,0.643,"PI_445298",60,60
"61",0.340856433791536,0.617007798877627,10.3,0.0268108121442807,11.2482623151207,0.0902773057928585,0.0221,0.831,"PI_471823",61,61
"62",0.245924537968297,0.487297829969627,9.2,0.026236227391449,8.11550975295379,0.070855268235138,0.0371,0.557,"PI_471857",62,62
"63",0.310560614878462,0.601067151671594,9.5,0.0305796354519086,10.2485002909893,0.0803760338667817,0.0925,0.832,"PI_498451",63,63
"64",0.343646573930523,0.652121160476751,10.4,0.0296610179371373,11.3403369397073,0.0953640286606318,0.1457,0.965,"PI_486516",64,64
"65",0.303825388987325,0.600802306031209,9.8,0.0303037670452943,10.0262378365817,0.0887323334993506,0.1315,0.843,"PI_483878",65,65
"66",0.295325090052232,0.607388803063584,10.6,0.0294399729255993,9.74572797172364,0.0783604363710219,0.1214,0.885,"PI_498570",66,66
"67",0.260384342380926,0.52955737151693,9.8,0.0274666356261228,8.59268329857056,0.0825599787560678,0.0721,0.668,"PI_504118",67,67
"68",0.204980255088778,0.383897743289922,8,0.0223646860251431,6.76434841792966,0.0788132151449115,0.0193,0.331,"PI_489682",68,68
"69",0.312603798854754,0.564471607851072,11.3,0.0222891866368423,10.3159253622069,0.0929501261854164,0.0304,0.694,"PI_484975",69,69
"70",0.326548330070098,0.576744164306897,9.9,0.0252723064885655,10.7760948923132,0.0841976520742649,0.0597,0.71,"PI_498609",70,70
"71",0.304871262610412,0.592801918305689,11,0.0261755141541161,10.0607516661436,0.0885800027514172,0.0858,0.812,"PI_483911",71,71
"72",0.279259596281003,0.527449372475343,9.1,0.0272736017795978,9.2155666772731,0.0752637693523821,0.0259,0.629,"PI_503560",72,72
"73",0.267023247124982,0.496358592054428,9.2,0.0249277548836354,8.8117671551244,0.0961642258950318,0.0438,0.55,"PI_438943",73,73
"74",0.298541066072092,0.552790639154137,9.8,0.0259438339879637,9.85185518037905,0.0944323059929197,0.0332,0.68,"PI_629130",74,74
"75",0.287127603203875,0.552214515350757,8.8,0.0301235127439639,9.47521090572787,0.0867470330894083,0.1149,0.699,"PI_620780",75,75
"76",0.305392856255432,0.556520906396901,9.2,0.0272965271892902,10.0779642564292,0.0933669555480028,0.0857,0.68,"PI_629147",76,76
"77",0.262211623342099,0.530458235289519,10,0.026824661194742,8.65298357028927,0.0874729536964939,0.1088,0.668,"PI_629157",77,77
"78",0.281530036869539,0.52654336086032,10.3,0.0237877013583283,9.29049121669478,0.098642687300857,0.022,0.623,"PI_620796",78,78
"79",0.267618617422916,0.524423246684198,10.6,0.0242268518171021,8.83141437495622,0.0874133698282769,0.017,0.639,"Ames_19467",79,79
"80",0.339452763722042,0.610264341769233,10.2,0.0265501547105089,11.2019412028274,0.0891984761276411,0.061,0.808,"Ames_19924",80,80
"81",0.370393791720668,0.678905527444083,11.8,0.0261450623494419,12.2229951267821,0.0951975707749892,0.0994,1.017,"Ames_19926",81,81
"82",0.316147598854887,0.589841254575232,11.2,0.0244369335464594,10.4328707622113,0.0841331486102343,0.0155,0.779,"PI_620801",82,82
"83",0.302775902642419,0.541445662255476,9.9,0.0241080565265714,9.99160478719983,0.0910110477063726,0.0074,0.633,"PI_620804",83,83
"84",0.229174892211877,0.437019372236832,9,0.0230938311138838,7.56277144299194,0.0860678411697205,0.0016,0.435,"Ames_19532",84,84
"85",0.207296489682801,0.426700427580203,8.9,0.0246521278536407,6.84078415953244,0.0639901982745469,0.0125,0.437,"Ames_19540",85,85
"86",0.274082347369134,0.535237234845831,9.9,0.0263792815633028,9.04471746318142,0.0926664390228176,0.0116,0.664,"PI_628446",86,86
"87",0.27174968922639,0.506515318883975,9,0.026085069961954,8.96773974447086,0.0799318414430852,0.0965,0.574,"PI_629191",87,87
"88",0.366940161137676,0.654313989547219,12.7,0.0226278605046885,12.1090253175433,0.101511092900948,0.1074,0.921,"PI_629202",88,88
"89",0.257310039303227,0.50995997589238,9.9,0.0255201956150659,8.49123129700651,0.08305172163279,0.0822,0.61,"Ames_19962",89,89
"90",0.408794190573313,0.791073470821347,13.3,0.028742803026168,13.4902082889193,0.105084500098451,0.0539,1.441,"PI_620829",90,90
"91",0.304871262610412,0.601067151671594,10.7,0.0276818587907646,10.0607516661436,0.084184833675161,0.0641,0.844,"Ames_19617",91,91
"92",0.340389186918298,0.648940659398959,11.6,0.0265992648690225,11.2328431683038,0.0993047078221118,0.058,0.96,"Ames_19946",92,92
"93",0.244626774091784,0.470346011886711,9.4,0.0240126848718008,8.07268354502887,0.0851775239081559,0.0406,0.506,"PI_620839",93,93
"94",0.246570858499345,0.498917158449902,9.8,0.0257496224439344,8.13683833047839,0.0820278717117993,0.0298,0.591,"PI_628460",94,94
"95",0.29907369997652,0.56221145219615,9.4,0.0279933778957054,9.86943209922514,0.0849968813345199,0.083,0.712,"Ames_19897",95,95
"96",0.234664889384407,0.484677930180071,9.3,0.0268831226662004,7.74394134968542,0.0821043108451217,0.0259,0.565,"Ames_19907",96,96
"97",0.306433380075047,0.58223708984033,11.2,0.0246253312290432,10.1123015424766,0.0911595182345049,0.0104,0.77,"Ames_19970",97,97
"98",0.296937431916069,0.575915706856055,9.8,0.0284671709122435,9.79893525323027,0.0933045916762095,0.0593,0.764,"Ames_19981",98,98
"99",0.290981837448471,0.557378191998377,11,0.0242178504136278,9.60240063579954,0.080605223851107,0.067,0.709,"PI_620843",99,99
"100",0.244626774091784,0.463529042427827,9,0.0243224742595604,8.07268354502887,0.0794284505983597,0.0459,0.487,"Ames_19688",100,100
"101",0.233304501751313,0.43409613292542,8.7,0.0230794978361043,7.69904855779331,0.0680480282434383,0.0155,0.421,"Ames_19879",101,101
"102",0.344109397808851,0.602125369307205,10.7,0.0241136421961078,11.3556101276921,0.105357976229255,0.0824,0.767,"PI_620849",102,102
"103",0.376784035274812,0.708277050754614,10.8,0.0306937977296113,12.4338731640688,0.0960004121570356,0.1151,1.131,"PI_628480",103,103
"104",0.309533965408194,0.54990398423234,10,0.0240370018824146,10.2146208584704,0.0907017990800842,0.0475,0.65,"PI_629245",104,104
"105",0.289885856765246,0.525635787601577,9.3,0.0253494549286378,9.56623327325312,0.093725236206569,0.0231,0.604,"PI_629246",105,105
"106",0.303301099745971,0.573423153027374,10.1,0.026744757750634,10.008936291617,0.0930069822378037,0.0586,0.744,"PI_503574",106,106
"107",0.278117425456696,0.535831612857789,10.2,0.0252660968040286,9.17787504007098,0.0873504876591152,0.0745,0.659,"PI_620857",107,107
"108",0.296937431916069,0.552502652346806,10.8,0.0236634463361793,9.79893525323027,0.0946869572195765,0.0209,0.682,"PI_620858",108,108
"109",0.310560614878462,0.601331880665566,10,0.0290771265787103,10.2485002909893,0.0978070731624902,0.0345,0.833,"PI_629255",109,109
"110",0.329459665495903,0.616491690214431,11.2,0.0256278593498685,10.8721689613648,0.0979949936255609,0.0428,0.854,"PI_474205",110,110
"111",0.383897743289922,0.69006636617861,12.5,0.024493489831095,12.6686255285674,0.0997488522209315,0.0137,1.033,"PI_515463",111,111
"112",0.256690760332437,0.50209703231304,8.6,0.0285356130210004,8.47079509097042,0.078502755229451,0.1131,0.585,"PI_583894",112,112
"113",0.310560614878462,0.594945874375455,9.3,0.030579060160967,10.2485002909893,0.09523275110034,0.1617,0.809,"PI_586644",113,113
"114",0.243975303496827,0.46387227019972,8.6,0.0255694147328946,8.05118501539529,0.0814985348291678,0.0181,0.489,"Ames_19802",114,114
"115",0.292073705590311,0.534344428161144,9.1,0.0266231563264651,9.63843228448028,0.0836738580241042,0.0233,0.629,"PI_629262",115,115
"116",0.252943248818667,0.444959266906891,7.7,0.0249371452062629,8.347127211016,0.0790821506601332,0.0272,0.421,"PI_629263",116,116
"117",0.286016853960102,0.555948648244117,10.5,0.025707789931811,9.43855618068336,0.0813018291794156,0.1594,0.714,"PI_479123",117,117
"118",0.247215489294841,0.50209703231304,10,0.0254881543018199,8.15811114672976,0.0749568799217926,0.1257,0.599,"NSL_6544",118,118
"119",0.317152840179743,0.663012784808721,11.3,0.0306070747459272,10.4660437259315,0.0942378169439195,0.0086,1.065,"PI_390842",119,119
"120",0.155536334500875,0.35188427888369,9,0.0218164382647572,5.13269903852888,0.0545598016140992,0.0077,0.313,"PI_571573",120,120
"121",0.243975303496827,0.514310718747656,9.5,0.0284563595000872,8.05118501539529,0.0824630481040919,0.0867,0.644,"PI_571394",121,121
"122",0.243322088660658,0.491525384505721,9.7,0.025587968643821,8.02962892580171,0.0654318506020429,0.003,0.574,"PI_571401",122,122
"123",0.223550111006135,0.457306893915618,9.3,0.0251351379472563,7.37715366320244,0.069516782021095,0.0237,0.5,"PI_571402",123,123
"124",0.248499734244637,0.524423246684198,10.7,0.02578724415323,8.20049123007303,0.0797860662797863,0.0278,0.67,"PI_571479",124,124
"125",0.240691502312504,0.495395722879904,10,0.02547042205674,7.94281957631262,0.0780475920957942,0.0067,0.589,"PI_571954",125,125
"126",0.229174892211877,0.503047074850966,11.7,0.0234078788580418,7.56277144299194,0.0767624086691834,0.0145,0.631,"PI_571423",126,126
"127",0.278117425456696,0.553941089179323,10.8,0.0255392281224654,9.17787504007098,0.0781286513094152,0.0326,0.72,"PI_571581",127,127
"128",0.254198558011861,0.515547044374677,11,0.0237589533057105,8.38855241439142,0.0807877989222427,0.0037,0.632,"PI_571582",128,128
"129",0.276970544589661,0.530158117452036,10.6,0.0238856200813561,9.14002797145882,0.0883233047371912,0.0013,0.642,"PI_571584",129,129
"130",0.25104851615652,0.540563109652074,11.3,0.0256207604863322,8.28460103316516,0.0831621132740244,0.0034,0.72,"PI_571427",130,130
"131",0.226379971895904,0.436290398631355,8.8,0.023853457583574,7.47053907256483,0.0726875340409113,0.0024,0.437,"PI_571891",131,131
"132",0.201850601761613,0.437747131895392,9.3,0.0253652182939548,6.66106985813322,0.070496854417534,0.0066,0.475,"PI_572037",132,132
"133",0.23936536824086,0.480390120093293,9.2,0.0261983425926558,7.89905715194837,0.0718195071355286,0.0026,0.545,"PI_572038",133,133
"134",0.226379971895904,0.485334230995512,8.9,0.0290959841684953,7.47053907256483,0.0726875340409113,0.1722,0.579,"PI_571437",134,134
"135",0.294245287204385,0.578672619246278,11.3,0.0251705603576896,9.71009447774471,0.0742109475331768,0.0586,0.78,"PI_571975",135,135
"136",0.33473135487536,0.639304226374257,11.4,0.0267169185525348,11.0461347108869,0.085889461265523,0.0144,0.931,"PI_571629",136,136
"137",0.296937431916069,0.57147698398498,11.6,0.0236672027645613,9.79893525323027,0.0868119700818635,0.0017,0.75,"PI_571749",137,137
"138",0.219961593692936,0.445316807556712,9.8,0.0229954299860996,7.25873259186688,0.072541292265599,0.0048,0.47,"PI_572049",138,138
"139",0.252943248818667,0.504941797470972,9,0.0279998387391451,8.347127211016,0.0741033418010071,0.0448,0.6,"PI_571770",139,139
"140",0.312094256871606,0.631287555320161,10.5,0.0303993617570053,10.299110476763,0.092359111494165,0.1083,0.946,"PI_571913",140,140
"141",0.318654756268644,0.59867932304611,9.3,0.0301101684706952,10.5156069568653,0.0845208571309422,0.1459,0.807,"PI_571986",141,141
"142",0.275818894925504,0.521684725372654,10.2,0.0241044931810931,9.10202353254162,0.08446390775683,0.0391,0.616,"PI_571522",142,142
"143",0.280397114620312,0.562777342074885,10.4,0.0271519449475551,9.25310478247029,0.0885622715011042,0.059,0.748,"PI_571523",143,143
"144",0.223550111006135,0.461119294728351,9.3,0.0255450735185179,7.37715366320244,0.0871438980801728,0.0075,0.511,"PI_572146",144,144
"145",0.283220923164789,0.538202560777306,10,0.0254981637612517,9.34629046443803,0.0933738808092846,0.0647,0.658,"PI_503720",145,145
"146",0.28490177426065,0.616749798532298,11.6,0.0286075882992799,9.40175855060146,0.0893874438548079,0.0971,0.941,"PI_571439",146,146
"147",0.24785844353879,0.487297829969627,8.7,0.0275217685552686,8.17932863678007,0.0716726067642962,0.0788,0.553,"PI_571822",147,147
"148",0.317654267908148,0.585236223702668,10.2,0.026233525077894,10.4825908409689,0.0954446025246042,0.0831,0.759,"PI_571819",148,148
"149",0.325572099694065,0.608697550116585,10.3,0.0274879078080116,10.7438792899042,0.0923720851847796,0.0817,0.831,"PI_487903",149,149
"150",0.374241031850956,0.728219932700414,13.7,0.025837875974413,12.3499540510815,0.0890979580583741,0.0122,1.226,"PI_571543",150,150
"151",0.2705758189903,0.534939798182214,10.9,0.0242535760726526,8.92900202667992,0.0818658032742689,0.0639,0.669,"PI_488408",151,151
"152",0.314127465715711,0.584419804485789,10.2,0.0264992488990272,10.3662063686185,0.0751664517805886,0.0431,0.763,"PI_571676",152,152
"153",0.329942390539404,0.645004667612735,11,0.0286420251884846,10.8880988878003,0.0865105390301649,0.1275,0.965,"PI_571994",153,153
"154",0.292073705590311,0.57619199169174,12.7,0.0223715185906636,9.63843228448028,0.086773933944666,0.004,0.775,"PI_571550",154,154
"155",0.231248915411244,0.454514153941635,8.2,0.0272274681134623,7.63121420857106,0.0683498007373337,0.066,0.481,"PI_571447",155,155
"156",0.286572766737208,0.555662298161641,9,0.0298988368249371,9.45690130232785,0.0820475530222955,0.0904,0.712,"PI_571853",156,156
"157",0.190492327994993,0.42856131921587,8.3,0.0286830109904671,6.28624682383478,0.0805071279850133,0.0074,0.462,"PI_572073",157,157
"158",0.317152840179743,0.572589890558072,9.4,0.0271741542955668,10.4660437259315,0.0854357059023455,0.123,0.714,"PI_515087",158,158
"159",0.259772392434153,0.579497135388864,10.9,0.0293325452252028,8.57248895032705,0.0731228050112264,0.0603,0.844,"PI_571465",159,159
"160",0.347331897273568,0.647958902922415,11.3,0.0266041597919333,11.4619526100278,0.100541752560625,0.0027,0.94,"PI_498684",160,160
"161",0.293161507141752,0.552214515350757,10.3,0.0251507774960199,9.67432973567782,0.0827268119731825,0.0295,0.689,"PI_488492",161,161
"162",0.249139374258344,0.501462670679677,9,0.0280359218245926,8.22159935052535,0.0725631894058,0.0452,0.594,"PI_583344",162,162
"163",0.300136132096775,0.61597514911811,11,0.0287126379110305,9.90449235919357,0.0928060631091333,0.1722,0.909,"PI_234767",163,163
"164",0.306433380075047,0.580868728160518,10.3,0.0266442085519875,10.1123015424766,0.0824568867418402,0.0602,0.766,"PI_586784",164,164
"165",0.317654267908148,0.602125369307205,9.6,0.029632406395735,10.4825908409689,0.0902107188104487,0.1052,0.822,"PI_498703",165,165
"166",0.271163389321744,0.553078476007359,9.8,0.0287668455801648,8.94839184761755,0.0843465968576238,0.14,0.73,"PI_498686",166,166
"167",0.278117425456696,0.536425332278544,9.8,0.0263579496756988,9.17787504007098,0.0865527496009228,0.1322,0.661,"PI_583923",167,167
"168",0.244626774091784,0.457306893915618,7.7,0.0276207947823161,8.07268354502887,0.0784293108177336,0.1577,0.469,"PI_583926",168,168
"169",0.249777376261388,0.492495820563026,8.5,0.0285551110943104,8.2426534166258,0.0776164621546162,0.1266,0.567,"PI_583927",169,169
"170",0.243975303496827,0.485662048818094,9.9,0.0244128025577037,8.05118501539529,0.0754529816468569,0.0321,0.553,"PI_583928",170,170
"171",0.240691502312504,0.474053562000916,8.6,0.0271351232195828,7.94281957631262,0.0895267280874344,0.1771,0.524,"PI_583932",171,171
"172",0.325082885143187,0.644757870332756,11.4,0.028041665367506,10.7277352097252,0.0943477762274114,0.05,0.974,"PI_218180",172,172
"173",0.297472937187728,0.546711060000234,9.3,0.0267997981518824,9.81660692719501,0.0889486325957796,0.0283,0.661,"PI_218186",173,173
"174",0.385965058954841,0.685205868422835,9.5,0.0314990325755783,12.7368469455098,0.112674581782064,0.1062,1.007,"PI_311229",174,174
"175",0.309533965408194,0.567844974182373,9,0.028701223197131,10.2146208584704,0.0907017990800842,0.1325,0.712,"PI_476869",175,175
"176",0.33042441035892,0.587678676241884,10.2,0.0252210064591141,10.9040055418444,0.108598221877464,0.0218,0.742,"PI_503563",176,176
"177",0.352787705990249,0.624188513743212,10.7,0.0253645614722395,11.6419942976782,0.10766989780324,0.0355,0.834,"PI_503566",177,177
"178",0.290434364080259,0.552790639154137,10.7,0.0245192780442876,9.58433401464855,0.0839096720802336,0.0239,0.696,"PI_508270",178,178
"179",0.287127603203875,0.54990398423234,10,0.0262776381028465,9.47521090572787,0.0983618899402566,0.0813,0.69,"PI_608619",179,179
"180",0.337100325374529,0.64525137049711,11,0.0280137313747801,11.1243107373595,0.0992128051648058,0.1625,0.952,"NSL_106891",180,180
"181",0.292073705590311,0.569524164563087,10.7,0.025929949436708,9.63843228448028,0.0897670134728152,0.0153,0.751,"PI_540761",181,181
"182",0.278117425456696,0.552214515350757,9.8,0.0279690908055164,9.17787504007098,0.0832854221353251,0.1051,0.715,"PI_401757",182,182
"183",0.294245287204385,0.569803548521301,10.2,0.0270155158153839,9.71009447774471,0.0951191316480677,0.0311,0.747,"Ames_19097",183,183
"184",0.307987574559055,0.552790639154137,9.2,0.0266090287603349,10.1635899604488,0.0909292186645993,0.0485,0.662,"PI_213706",184,184
"185",0.206527297829192,0.420690262209844,8,0.0267703705475815,6.81540082836335,0.0736051762397647,0.0116,0.422,"PI_222609",185,185
"186",0.281530036869539,0.50933540740831,9.4,0.0242346138871033,9.29049121669478,0.0899211239433842,0.0212,0.566,"Ames_1903",186,186
"187",0.339921297780407,0.649920932857136,11.1,0.0279278950519576,11.2174028267534,0.097644670519147,0.131,0.963,"PI_221881",187,187
"188",0.380566680377598,0.687987500435362,11.4,0.0269667386015582,12.5587004524607,0.100184447089007,0.0971,1.032,"PI_221888",188,188
"189",0.341323041037764,0.65114419938813,12.2,0.0253951769139644,11.2636603542462,0.0857179871974288,0.0599,0.966,"PI_596543",189,189
"190",0.274082347369134,0.470346011886711,7.8,0.0251620082714843,9.04471746318142,0.0871875425135951,0.1304,0.458,"PI_401754",190,190
"191",0.339921297780407,0.693746746233733,12.1,0.0292417725994484,11.2174028267534,0.0897714160240096,0.0462,1.15,"PI_360877",191,191
"192",0.316650618423356,0.605288921918734,10.2,0.0282978728917037,10.4494704079708,0.0910253537621686,0.149,0.836,"PI_275835",192,192
"193",0.208062837914404,0.455563437725013,9.3,0.0266129677215708,6.86607365117533,0.0828326761048374,0.0263,0.515,"PI_483312",193,193
"194",0.238031846064166,0.457306893915618,9.3,0.0235779621345648,7.85505092011747,0.0863494295461347,0.0253,0.479,"PI_401755",194,194
"195",0.23534213434058,0.476063692128332,8,0.030090194723469,7.76629043323914,0.0789296257890377,0.2493,0.538,"PI_586765",195,195
"196",0.294431983404187,0.5545,9.06331324962356,0.0286945854604126,9.954524552,0.0912750431682746,0.108090215260609,0.693601005597417,"cluster_1",196,196
"197",0.292536633014478,0.5545,9.10763931162252,0.028763037052996,9.80308419,0.0825728863293152,0.0480660640588793,0.697096062597417,"cluster_2",197,197
"198",0.29082630547085,0.5545,9.1475480462899,0.0288245214121714,10.19080487,0.088547349233657,0.0505013905274708,0.700230560597417,"cluster_3",198,198
"199",0.299002398586538,0.5545,8.95598763197724,0.02852813245311,10.44534349,0.0873927244673975,0.0427137406203482,0.685080247597417,"cluster_4",199,199
"200",0.293099929700609,0.5545,9.09447666268501,0.0287427281409084,7.81968,0.0848894804026364,0.0508659823681871,0.696059691597417,"cluster_5",200,200
"201",0.304336903132773,0.5545,8.82991893995353,0.0283313016312405,9.769734398,0.0826346389988795,0.0454501404980823,0.674968980597417,"cluster_6",201,201
"202",0.302541835254768,0.5545,8.87243880762636,0.0283978475600936,10.02844364,0.0892180694174125,0.125144180116313,0.678391395597417,"cluster_7",202,202
