"","Genotype","Treatment","Roottype","Type","Filename","Root area","Metaxylem number","Total Metaxylem area","Cortical cell size","Cortical file number","Stele area","Cortex area","Aerenchyma area","Aerenchyma percent","RXA","TSA","TCA","AA","aerenchyma","radius","r_stele","MXA","nX","X_size","CF","OneC","OC","ratio","nPX","PXA_1","k_protxyl_s","kx_unM","LMXA","LMXA_1","k_Mxyl_s","kx_M","m_CF","m_OC","m_aerenchyma","id","model_RXA","model_TSA","model_XVA","model_AA","Kx","Kr1","Kr2","Kr3","kr1_new","kr2_new","kr3_new"
"11","BS","sheltered","CR5","Landrace","BS-DS-CR5-4.tif",3.45428712910295,14,0.257530068802525,0.00177975196215587,6,1.7393769535247,1.71491017557825,0.141440209300358,8.24767450299053,3.45428712910295,1.7393769535247,1.71491017557825,0.141440209300358,0.0824767450299053,1.04858654526505,0.744083920070281,0.257530068802525,14,0.153040019872894,6,0.0507504375324617,0.0476030521924472,4.10563550574572,57.4788970804401,299.596155790015,0.154282390778,0.177359633217058,0.257530068802525,18395.004914466,581.625854405257,163.032598866689,7.8,0.0486998152602423,0.107105637260228,11,3.33947666835602,1.83494133130137,0.219502575702187,0.128448165098709,118.489822158767,0.000102649692415659,4.66479622460305e-05,4.16488905482336e-05,0.000155802170346228,7.08024894096199e-05,6.32148756340296e-05
"12","BS","sheltered","CR5","Landrace","BS-DS-CR5-1.tif",3.48828841535187,15,0.223966478731217,0.00187457979546835,10,1.67887496221436,1.80941345313751,0.195070784769923,10.7808850670184,3.48828841535187,1.67887496221436,1.80941345313751,0.195070784769923,0.107808850670184,1.05373463854373,0.731028383949124,0.223966478731217,15,0.137879893969515,10,0.0322706254594608,0.0488547758704495,3.76703175381645,56.5054763072467,301.067039583923,0.155801025314143,0.176072222890661,0.223966478731217,14931.0985820811,383.201687497786,115.136578472227,7.8,0.0486998152602423,0.107105637260228,12,3.38934790635456,1.71945527391381,0.191107092945273,0.179666160380855,83.8262978732275,0.00010349665105942,4.5629764897091e-05,4.01849197168223e-05,0.000156320225292472,6.89187046705563e-05,6.06948692464171e-05
"13","BS","non-sheltered","CR5","Landrace","BS-WW-CR5-2.tif",3.51502865249931,10,0.180061092843683,0.00247615127270323,7,1.39594918170362,2.11907947079569,0.507443372693622,23.9464059600881,3.51502865249931,1.39594918170362,2.11907947079569,0.507443372693622,0.239464059600881,1.05776574453412,0.666591647972307,0.180061092843683,10,0.151413640031804,7,0.0558820137945445,0.0561492094258864,5.17010732728152,51.7010732728152,302.218784152605,0.15699535212106,0.162336564070047,0.180061092843683,18006.1092843683,557.29308012824,111.620952589718,7.375,0.0541338319466108,0.139974159981116,13,3.75500704004835,1.4855241969362,0.155910112602375,0.538654456354013,83.7313349324226,6.69093840680508e-05,3.49221230238216e-05,3.21827182445691e-05,0.00010067407900749,5.25449848534514e-05,4.84231855420204e-05
"14","BS","sheltered","CR4","Landrace","BS-DS-CR4-9.tif",3.56378566071802,18,0.243563824969576,0.00127638028474124,9,1.61127229147805,1.95251336923997,0.325494930120079,16.6705608907959,3.56378566071802,1.61127229147805,1.95251336923997,0.325494930120079,0.166705608907959,1.06507662073983,0.716159130159962,0.243563824969576,18,0.131257823812995,9,0.0387686100644299,0.0403129985569528,3.07760137470704,55.3968247447268,304.307605925666,0.159173036695047,0.176353616357629,0.243563824969576,13531.3236094209,314.720076593548,113.475581190035,8.14285714285714,0.0525560395837794,0.0979241578370994,14,3.73380562914522,1.68043985481475,0.208677730591256,0.343295671641874,83.2850203616513,8.59095825356741e-05,4.07836262180749e-05,3.65955470828645e-05,0.000128375127697537,6.09431808324745e-05,5.46849128032151e-05
"15","GBL","sheltered","CR5","Landrace","GBL-DS-CR5-4.tif",3.59367873782576,9,0.231422787317118,0.0063807764326574,7,0.836119739132789,2.75755899869297,0.0643099859233986,2.33213454195831,3.59367873782576,0.836119739132789,2.75755899869297,0.0643099859233986,0.0233213454195831,1.06953423040987,0.515892604133243,0.231422787317118,9,0.180940949349962,7,0.0790916608966607,0.0901346597052076,4.49610584046384,40.4649525641746,305.581208688534,0.160508182046757,0.129899119453678,0.231422787317118,25713.6430352354,1136.50436567425,204.700684940819,7,0.0757327290135203,0.0183335792206348,15,3.92527334331288,0.927559023556947,0.198535387732471,0.068827439297259,150.852930743382,5.10355525874821e-05,2.70414012977371e-05,2.57835332827156e-05,7.59448387604332e-05,4.02396909074819e-05,3.83678862783664e-05
"16","BS","sheltered","CR5","Landrace","BS-DS-CR5-5.tif",3.62183414235787,16,0.230176461506953,0.00223457642153043,10,1.72637088747107,1.8954632548868,0.171426974846754,9.04406742809646,3.62183414235787,1.72637088747107,1.8954632548868,0.171426974846754,0.0904406742809646,1.07371579742057,0.74129678314554,0.230176461506953,16,0.135339797606308,10,0.0332419014275035,0.0533399574955336,3.57944300945821,57.2710881513314,306.775942120164,0.16176571593499,0.185289971543521,0.230176461506953,14386.0288441846,355.734298848013,114.020265602908,7.8,0.0486998152602423,0.107105637260228,16,3.48344550077878,1.7458024774439,0.196666373514425,0.15747092554632,83.2270801813156,0.000103744864680595,4.59514409755367e-05,4.05786426692295e-05,0.000153779129207027,6.81129866117399e-05,6.01489852368993e-05
"17","BS","sheltered","CR5","Landrace","BS-DS-CR5-2.tif",3.71883562406291,19,0.296690913127601,0.00163695882672954,7,1.97608067269282,1.74275495137009,0.213496625346348,12.2505246752278,3.71883562406291,1.97608067269282,1.74275495137009,0.213496625346348,0.122505246752278,1.08799914716497,0.79309899383043,0.296690913127601,19,0.14100365862324,7,0.042128593333505,0.0456534852042571,3.21755057789457,61.1334609799969,310.85689918999,0.166098193215287,0.203083148275495,0.296690913127601,15615.3112172422,419.126552997443,159.471173287304,7.8,0.0486998152602423,0.107105637260228,17,3.86765420090317,2.02988338236766,0.255317131298295,0.223352886442398,118.110656970769,0.000100393005585384,4.63457815866806e-05,4.12564738109755e-05,0.000146857128816697,6.77956435002532e-05,6.03508905192413e-05
"18","BS","sheltered","CR4","Landrace","BS-DS-CR4-8.tif",3.73821951611001,17,0.212939283427539,0.00189994558639202,7,1.80313632693199,1.93508318917802,0.243835070004366,12.6007538780771,3.73821951611001,1.80313632693199,1.93508318917802,0.243835070004366,0.126007538780771,1.09083098081371,0.757598916973606,0.212939283427539,17,0.126286955287298,7,0.0476045805485864,0.0491842032917008,3.44038677938541,58.486575249552,311.665994518203,0.166963955989439,0.195302999518784,0.212939283427539,12525.84020162,269.685515057812,91.8883781191749,8.14285714285714,0.0525560395837794,0.0979241578370994,18,3.86939976458877,1.83468245518719,0.182600330714434,0.254268244174132,67.5958022228126,8.86206311396591e-05,4.26254908376813e-05,3.85064307193067e-05,0.000129299696780513,6.21916473574547e-05,5.61818365777592e-05
"19","PM","non-sheltered","CR4","Modern","PM-WW-CR4-1.tif",3.77206699188377,10,0.251577919157224,0.00196425250287045,5,1.28984806385451,2.48221892802926,0.0860668058364445,3.46733339531726,3.77206699188377,1.28984806385451,2.48221892802926,0.0860668058364445,0.0346733339531726,1.09575828304611,0.640758449339462,0.251577919157224,10,0.178974566699619,5,0.0909999667413292,0.0500096386959522,4.97749499827503,49.7749499827503,313.073795156031,0.168475720729602,0.167717411452475,0.251577919157224,25157.7919157224,1087.89987909429,217.74769323031,7,0.051114168343099,0.0205203812219914,19,4.11757129217025,1.39132058383955,0.216768657824819,0.100996248040717,162.147173202991,6.55354736267618e-05,3.42483508413272e-05,3.25209907040038e-05,9.51879144967302e-05,4.9744495784143e-05,4.7235567413639e-05
"20","W2","non-sheltered","SR","Modern","W2-WW-SR-4.tif",3.77472358017716,6,0.100591515536604,0.00247544204321965,8,0.69351400944669,3.08120957073047,0.116029412914392,3.76570986980558,3.77472358017716,0.69351400944669,3.08120957073047,0.116029412914392,0.0376570986980558,1.09614407501088,0.469842915679102,0.100591515536604,6,0.146103328416367,8,0.0782876449164725,0.0561411676056641,6.17191463217231,37.0314877930339,313.184021431681,0.168594374674077,0.124866010554345,0.100591515536604,16765.2525894339,483.130092616646,58.1004771245519,8.77777777777778,0.0745880022322561,0.0790245276982294,20,3.54659854919714,0.767277043480294,0.0862688810176818,0.105378546550381,42.7823532442325,5.07915217447486e-05,2.66348119012613e-05,2.54207494105034e-05,7.37468909162873e-05,3.86724890372325e-05,3.69097276354099e-05
